Gene1+Gene2	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	T33	T34	T35	T36	T37
CLEC17A+MYO7A	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	10	9	0	0	0	0	11	0	0	0	0	0	6	7	5	0	0
ZNF431+ZNF714	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	4	0	0	0	0	0	0	0	0	0	5
KANSL1+TANC2	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ETFA+TYRO3	6	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	5	0	5	0	0	0	4	0	0	0	0	0	6	0	0	4	0
C7orf63+CRYGA	4	0	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	0	4	0	0	0	0	0
SUZ12+U2SURP	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	5	0	6	0	0	0	0	0	4	5	0	4	0
MZT2A+MZT2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	9	0	8	0	0	0	0	0	0	14	5	0	0	0
ARHGEF3+MLF1IP	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	5	0	0	0	6	0	6	0	0	0	0
IQCB1+KCNH7	0	5	0	0	0	13	0	0	0	27	0	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYZL1+LYZL2	0	0	0	0	0	4	4	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	9	0	6	0	0	0
ATP2B2+CELF5	4	0	0	0	0	5	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
KCNH7+RFC1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	10	17	0	0	0	0	0	0	0	0	0	0
ERG+TMPRSS2	0	29	0	0	49	0	0	25	0	0	0	36	0	0	0	0	47	0	0	0	0	0	62	0	0	0	0	33	25	0	28	0	0	17	18	33	64
OPCML+WDFY4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	4	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0
PPFIBP2+RGL1	7	0	0	0	0	5	6	0	0	0	5	0	7	0	5	0	0	0	0	5	5	4	0	0	5	0	0	0	0	0	5	0	5	5	0	0	4
POM121+PRKRIP1	0	0	0	0	0	0	0	0	0	36	0	0	14	0	0	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0
